      ESP Fit Center  100 is at  -2.550000  1.800000 -0.629615
      ESP Fit Center  101 is at  -2.550000  1.800000 -0.329615
      ESP Fit Center  102 is at  -2.550000  1.800000 -0.029615
      ESP Fit Center  103 is at  -2.250000 -2.400000 -0.629615
      ESP Fit Center  104 is at  -2.250000 -2.400000 -0.329615
      ESP Fit Center  105 is at  -2.250000 -2.100000 -1.229615
      ESP Fit Center  106 is at  -2.250000 -2.100000 -0.929615
      ESP Fit Center  107 is at  -2.250000 -2.100000 -0.629615
      ESP Fit Center  108 is at  -2.250000 -2.100000 -0.329615
      ESP Fit Center  109 is at  -2.250000 -2.100000 -0.029615
      ESP Fit Center  110 is at  -2.250000 -2.100000  0.270385
      ESP Fit Center  111 is at  -2.250000 -1.800000 -1.529615
      ESP Fit Center  112 is at  -2.250000 -1.800000 -1.229615
      ESP Fit Center  113 is at  -2.250000 -1.800000 -0.929615
      ESP Fit Center  114 is at  -2.250000 -1.800000 -0.629615
      ESP Fit Center  115 is at  -2.250000 -1.800000 -0.329615
      ESP Fit Center  116 is at  -2.250000 -1.800000 -0.029615
      ESP Fit Center  117 is at  -2.250000 -1.800000  0.270385
      ESP Fit Center  118 is at  -2.250000 -1.800000  0.570385
      ESP Fit Center  119 is at  -2.250000 -1.500000 -1.829615
      ESP Fit Center  120 is at  -2.250000 -1.500000 -1.529615
      ESP Fit Center  121 is at  -2.250000 -1.500000 -1.229615
      ESP Fit Center  122 is at  -2.250000 -1.500000 -0.929615
      ESP Fit Center  123 is at  -2.250000 -1.500000 -0.629615
      ESP Fit Center  124 is at  -2.250000 -1.500000 -0.329615
      ESP Fit Center  125 is at  -2.250000 -1.500000 -0.029615
      ESP Fit Center  126 is at  -2.250000 -1.500000  0.270385
      ESP Fit Center  127 is at  -2.250000 -1.500000  0.570385
      ESP Fit Center  128 is at  -2.250000 -1.500000  0.870385
      ESP Fit Center  129 is at  -2.250000 -1.200000 -1.829615
      ESP Fit Center  130 is at  -2.250000 -1.200000 -1.529615
      ESP Fit Center  131 is at  -2.250000 -1.200000 -1.229615
      ESP Fit Center  132 is at  -2.250000 -1.200000 -0.929615
      ESP Fit Center  133 is at  -2.250000 -1.200000 -0.629615
      ESP Fit Center  134 is at  -2.250000 -1.200000 -0.329615
      ESP Fit Center  135 is at  -2.250000 -1.200000 -0.029615
      ESP Fit Center  136 is at  -2.250000 -1.200000  0.270385
      ESP Fit Center  137 is at  -2.250000 -1.200000  0.570385
      ESP Fit Center  138 is at  -2.250000 -1.200000  0.870385
      ESP Fit Center  139 is at  -2.250000 -1.200000  1.170385
      ESP Fit Center  140 is at  -2.250000 -0.900000 -2.129615
      ESP Fit Center  141 is at  -2.250000 -0.900000 -1.829615
      ESP Fit Center  142 is at  -2.250000 -0.900000 -1.529615
      ESP Fit Center  143 is at  -2.250000 -0.900000 -1.229615
      ESP Fit Center  144 is at  -2.250000 -0.900000 -0.929615
      ESP Fit Center  145 is at  -2.250000 -0.900000 -0.629615
      ESP Fit Center  146 is at  -2.250000 -0.900000 -0.329615
      ESP Fit Center  147 is at  -2.250000 -0.900000 -0.029615
      ESP Fit Center  148 is at  -2.250000 -0.900000  0.270385
      ESP Fit Center  149 is at  -2.250000 -0.900000  0.570385
      ESP Fit Center  150 is at  -2.250000 -0.900000  0.870385
      ESP Fit Center  151 is at  -2.250000 -0.900000  1.170385
      ESP Fit Center  152 is at  -2.250000 -0.900000  1.470385
      ESP Fit Center  153 is at  -2.250000 -0.600000 -2.129615
      ESP Fit Center  154 is at  -2.250000 -0.600000 -1.829615
      ESP Fit Center  155 is at  -2.250000 -0.600000 -1.529615
      ESP Fit Center  156 is at  -2.250000 -0.600000 -1.229615
      ESP Fit Center  157 is at  -2.250000 -0.600000 -0.929615
      ESP Fit Center  158 is at  -2.250000 -0.600000 -0.629615
      ESP Fit Center  159 is at  -2.250000 -0.600000 -0.329615
      ESP Fit Center  160 is at  -2.250000 -0.600000 -0.029615
      ESP Fit Center  161 is at  -2.250000 -0.600000  0.270385
      ESP Fit Center  162 is at  -2.250000 -0.600000  0.570385
      ESP Fit Center  163 is at  -2.250000 -0.600000  0.870385
      ESP Fit Center  164 is at  -2.250000 -0.600000  1.170385
      ESP Fit Center  165 is at  -2.250000 -0.600000  1.470385
      ESP Fit Center  166 is at  -2.250000 -0.300000 -1.829615
      ESP Fit Center  167 is at  -2.250000 -0.300000 -1.529615
      ESP Fit Center  168 is at  -2.250000 -0.300000 -1.229615
      ESP Fit Center  169 is at  -2.250000 -0.300000 -0.929615
      ESP Fit Center  170 is at  -2.250000 -0.300000 -0.629615
      ESP Fit Center  171 is at  -2.250000 -0.300000 -0.329615
      ESP Fit Center  172 is at  -2.250000 -0.300000 -0.029615
      ESP Fit Center  173 is at  -2.250000 -0.300000  0.270385
      ESP Fit Center  174 is at  -2.250000 -0.300000  0.570385
      ESP Fit Center  175 is at  -2.250000 -0.300000  0.870385
      ESP Fit Center  176 is at  -2.250000 -0.300000  1.170385
      ESP Fit Center  177 is at  -2.250000 -0.300000  1.470385
      ESP Fit Center  178 is at  -2.250000  0.000000 -1.829615
      ESP Fit Center  179 is at  -2.250000  0.000000 -1.529615
      ESP Fit Center  180 is at  -2.250000  0.000000 -1.229615
      ESP Fit Center  181 is at  -2.250000  0.000000 -0.929615
      ESP Fit Center  182 is at  -2.250000  0.000000 -0.629615
      ESP Fit Center  183 is at  -2.250000  0.000000 -0.329615
      ESP Fit Center  184 is at  -2.250000  0.000000 -0.029615
      ESP Fit Center  185 is at  -2.250000  0.000000  0.270385
      ESP Fit Center  186 is at  -2.250000  0.000000  0.570385
      ESP Fit Center  187 is at  -2.250000  0.000000  0.870385
      ESP Fit Center  188 is at  -2.250000  0.000000  1.170385
      ESP Fit Center  189 is at  -2.250000  0.000000  1.470385
      ESP Fit Center  190 is at  -2.250000  0.000000  1.770385
      ESP Fit Center  191 is at  -2.250000  0.300000 -1.829615
      ESP Fit Center  192 is at  -2.250000  0.300000 -1.529615
      ESP Fit Center  193 is at  -2.250000  0.300000 -1.229615
      ESP Fit Center  194 is at  -2.250000  0.300000 -0.929615
      ESP Fit Center  195 is at  -2.250000  0.300000 -0.629615
      ESP Fit Center  196 is at  -2.250000  0.300000 -0.329615
      ESP Fit Center  197 is at  -2.250000  0.300000 -0.029615
      ESP Fit Center  198 is at  -2.250000  0.300000  0.270385
      ESP Fit Center  199 is at  -2.250000  0.300000  0.570385
      ESP Fit Center  200 is at  -2.250000  0.300000  0.870385
      ESP Fit Center  201 is at  -2.250000  0.300000  1.170385
      ESP Fit Center  202 is at  -2.250000  0.300000  1.470385
      ESP Fit Center  203 is at  -2.250000  0.600000 -2.129615
      ESP Fit Center  204 is at  -2.250000  0.600000 -1.829615
      ESP Fit Center  205 is at  -2.250000  0.600000 -1.529615
      ESP Fit Center  206 is at  -2.250000  0.600000 -1.229615
      ESP Fit Center  207 is at  -2.250000  0.600000 -0.929615
      ESP Fit Center  208 is at  -2.250000  0.600000 -0.629615
      ESP Fit Center  209 is at  -2.250000  0.600000 -0.329615
      ESP Fit Center  210 is at  -2.250000  0.600000 -0.029615
      ESP Fit Center  211 is at  -2.250000  0.600000  0.270385
      ESP Fit Center  212 is at  -2.250000  0.600000  0.570385
      ESP Fit Center  213 is at  -2.250000  0.600000  0.870385
      ESP Fit Center  214 is at  -2.250000  0.600000  1.170385
      ESP Fit Center  215 is at  -2.250000  0.600000  1.470385
      ESP Fit Center  216 is at  -2.250000  0.900000 -2.129615
      ESP Fit Center  217 is at  -2.250000  0.900000 -1.829615
      ESP Fit Center  218 is at  -2.250000  0.900000 -1.529615
      ESP Fit Center  219 is at  -2.250000  0.900000 -1.229615
      ESP Fit Center  220 is at  -2.250000  0.900000 -0.929615
      ESP Fit Center  221 is at  -2.250000  0.900000 -0.629615
